Dist;Date;Year;RegionName;Region;SiteName;Site;SiteInd;Lat;Lon;GenNr;Length;Box;LociN;Origin;Score ;Transport;WavExp;CurrA;CurrJyll;SdJyll;CurrVik;SdVik
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-052;8;1;26;1;99.159;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-053;8.6;1;26;1;100;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-054;6.8;1;26;1;100;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-055;10;1;25;1;100;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 3666;9/20/2000;2000;Flødevigen;5;Kumkrogen;66;66;58.42745013;8.752456049;GMS-056;10;1;26;1;99.425;0.68;0.04;0.61;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-057;7;1;26;1;100;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-058;8;1;26;2;80.457;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-059;7.2;1;26;1;99.985;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-060;8.5;1;26;2;100;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-061;7.5;1;26;1;100;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-062;8.5;1;26;1;99.944;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-063;7.7;1;26;1;95.281;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-064;7.3;1;26;2;99.985;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-065;7.6;1;26;1;100;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-066;7.6;1;26;1;99.999;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-067;8;1;26;1;100;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-068;7.4;1;26;1;99.926;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-069;7;1;26;1;99.995;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-070;7;1;26;1;100;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5161;9/18/2000;2000;Høvåg;3;Utenfor Jakteviga;32;32;58.15523079;8.24537247;GMS-071;6.7;1;25;1;100;0.68;0.05;0.13;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-072;12.5;1;25;2;99.999;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-073;9;1;26;1;100;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-074;14.3;1;26;2;100;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-075;12;1;26;2;99.996;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-076;9;1;0;0;;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-077;10.8;1;26;1;100;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-078;13;1;26;1;99.991;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-079;13;1;26;2;100;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-080;12.1;1;26;2;100;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 5195;9/18/2000;2000;Høvåg;3;Jakteviga;31;31;58.15499933;8.243147511;GMS-081;10;1;26;2;100;0.68;0.04;0.83;9.8;23.1;14.3;20.9
 1619;9/19/2000;2000;Grimstad;4;Herøya;58;58;58.3100672;8.572059785;GMS-082;8.1;1;21;1;99.997;0.68;0.11;2.4;9.8;23.1;14.3;20.9
 1619;9/19/2000;2000;Grimstad;4;Herøya;58;58;58.3100672;8.572059785;GMS-083;9.4;1;18;2;99.873;0.68;0.11;2.4;9.8;23.1;14.3;20.9
 1619;9/19/2000;2000;Grimstad;4;Herøya;58;58;58.3100672;8.572059785;GMS-084;8.3;1;26;1;100;0.68;0.11;2.4;9.8;23.1;14.3;20.9
 2037;9/19/2000;2000;Grimstad;4;Bufjorden,indre;57;57;58.2803875;8.50523665;GMS-085;10;1;26;1;99.721;0.68;0.04;0.52;9.8;23.1;14.3;20.9
 2037;9/19/2000;2000;Grimstad;4;Bufjorden,indre;57;57;58.2803875;8.50523665;GMS-086;8.5;1;26;1;99.999;0.68;0.04;0.52;9.8;23.1;14.3;20.9
 2037;9/19/2000;2000;Grimstad;4;Bufjorden,indre;57;57;58.2803875;8.50523665;GMS-087;8;1;26;1;93.046;0.68;0.04;0.52;9.8;23.1;14.3;20.9
 2037;9/19/2000;2000;Grimstad;4;Bufjorden,indre;57;57;58.2803875;8.50523665;GMS-088;13.2;1;25;1;99.999;0.68;0.04;0.52;9.8;23.1;14.3;20.9
 2037;9/19/2000;2000;Grimstad;4;Bufjorden,indre;57;57;58.2803875;8.50523665;GMS-089;8.8;1;26;2;99.992;0.68;0.04;0.52;9.8;23.1;14.3;20.9
 2037;9/19/2000;2000;Grimstad;4;Bufjorden,indre;57;57;58.2803875;8.50523665;GMS-090;10.5;1;26;1;100;0.68;0.04;0.52;9.8;23.1;14.3;20.9
 2037;9/19/2000;2000;Grimstad;4;Bufjorden,indre;57;57;58.2803875;8.50523665;GMS-091;7.8;1;26;1;100;0.68;0.04;0.52;9.8;23.1;14.3;20.9
